Timestamp;What is your position on systemd?;Have you tried systemd?;Do you feel that systemd is breaking the UNIX philosophy?;Do you feel that systemd is bloated?;Do you feel that systemd is modular?;Do you feel that systemd is monolithic?;Do you feel that systemd is eating up other project?;What do you think about http://0pointer.de/blog/projects/why.html?;Have you been frustrated by bugs in systemd?;Do you feel obligated to use systemd?;Are you afraid systemd will destroy the GNU/Linux ecosystem?;Is systemd stopping you from using some other software?;Are you vocal about systemd?;What is your position on Red Hat?;What is your position on Avahi?;What is your position on PulseAudio?;What is your position on D-Bus?;What is your position on kdbus?;What is your position on Docker?;Do you use containerisation?;Do you use socket activation;Do you use D-Bus activation;Do you use cron?;Do you use at?;Do you encrypt your /?;Do you encrypt any other partition, besides swap?;Do you use swap?;Do you use a graphical boot?;What do you call GNU/Linux?;What is your position on smartphones?;Do you use an FSF endorsed distro?;What is your position on free software versus open source?;Are you a distro developer?;Are you a web developer?;Are you a non-web developer?;Are you a system administrator?;Are you a gamer?;Do you like the Web?;Do you like Gopher?;Do you like new and shiny?;Are you a fan of suckless.org software?;Are you a GNU Hurd fan?;What is the most important about a distro, besides freedom?;What is the second most important about a distro, besides freedom?;What is the least important about a distro, besides freedom?;Do you prefer word processors over text editors?;Do you prefer LaTeX or LibreOffice?;What text editor do you use?;Do you use an integrated development environment?;What type of window manager do you prefer?;What display server do you want to be the future?;Which operating systems do you use?;Which is your perfered operating system?;Which operating systems have you used, including currently used?;How often do you use GNU/Linux at home?;What type of distro do you perfer?;What command line shell do you use?;What is your terminal usage?;Do you use the TTY?;Do you use a login manager?;What kind of computers are you using?;When did you start using GNU, or Linux?;How old are you?;What is the highest education level you have completed?;Was you highest education level degree in computer science?;What education level are you currently engaged in?;Are you currently engaged in getting a degree in computer science?;What gender do you identify as?;Do you watch the Linux Action Show?;Do you watch Linux Unplugged?;Do you watch BSD Now?;Any comments?
11/21/2014 6:20:47;In favour;Yes;A bit;No;Don't know;Don't know;Yes, but I do not mind that;I have no opinion;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;What is that?;In favour;What is that?;What is that?;In favour;No;No;No;No;What is that?;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;No;A little;Yes;What is that?;Yes;What is that?;What is that?;Other;Other;Other;No;What is LaTeX?;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;No;No;Desktop;2012–2013;18–21;High school;Yes;None;No;Male;Yes;Yes;No;
11/21/2014 6:43:57;Neither;Yes;Yes;Don't know;No;Yes;Yes;Helpful;No;Yes;No;No;No;Neutral;Neither;Neither;In favour;In favour;In favour;Yes;No;No;Yes;No;No;No;Yes;Yes;GNU/Linux;In favour;Yes, but not exclusively;I'm for free software;No;No;No;Yes;Yes;Yes;Neither;Yes;What is that?;No;Security;Flexibility;Small;No;LibreOffice, or similar;Vi-family;I'm not a developer;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS;100 %;;bash;Drop-down terminal;No;Yes;Server, Laptop;2012–2013;40–49;4 years university or university college, or longer;No;None;No;Male;Yes;Yes;Sometimes;
11/21/2014 7:23:36;In favour;Yes;A bit;No;Yes;No;Yes, but I do not mind that;Legit;Yes;No;No;No;Yes;Neither;Neither;In favour;In favour;In favour;In favour;No;No;No;Yes;Yes;No;No;No;Yes;Linux;In favour;No, or yes but not because it is free;Neither;No;No;Yes, back-end (exclusively or preferably);No;Yes;Yes;No;Neither;Some of it;No;Flexibility;Bleeding edge;Performance;No;LaTeX, or similar;Other;No;Stacking;Wayland;GNU/Linux, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, OS X, Windows or ReactOS, Haiku or BeOS, Other;100 %;Advanced;fish;Drop-down terminal;Yes;Yes;Desktop, Laptop, Netbook, Tablet;2004–2007;26–29;College;Yes;None;No;Male;Yes;Yes;No;
11/21/2014 7:37:04;In favour;Yes;A bit;No;Yes;No;Yes, but I do not mind that;I have no opinion;No;No;No;No;No;Neutral;In favour;In favour;In favour;In favour;In favour;No;No;No;Yes;No;Yes;Yes;Yes;No;Linux;In favour;No, or yes but not because it is free;Neither;No;No;No;Yes;A little;Yes;Neither;Yes;No;No;Performance;Stability;Bleeding edge;No;LibreOffice, or similar;Other;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS;100 %;Advanced;zsh;I live in the terminal;Yes;Yes;Server, Desktop, Laptop;2004–2007;26–29;College;No;None;No;Male;Yes;Yes;Yes;
11/21/2014 7:49:12;In favour;Yes;No;No;Yes;No;No;Biased;No;No;No;No;No;Neutral;Neither;In favour;In favour;In favour;In favour;Yes;Yes;No;Yes;No;No;No;No;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;Yes, front-end (exclusively or preferably);Yes;No;Yes;No;Neither;What is that?;Yes;Flexibility;Performance;Shiny;No;LibreOffice, or similar;Other;Yes;Stacking;Wayland;GNU/Linux, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, OS X, Windows or ReactOS, Other UNIX-like;100 %;Advanced;bash;I live in the terminal;No;Yes;Server, Desktop, Laptop, Ultrabook, Tablet;1996–1999;40–49;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/21/2014 7:57:06;In favour;Yes;A bit;No;Yes;No;Yes, but I do not mind that;Legit;Yes;No;No;Yes, but only by its adoption by that software;No;I hate them;Neither;In favour;In favour;Neither;In favour;No;No;Yes;Yes;What is that?;No;Yes;Yes;Yes;Linux;In favour;No, or yes but not because it is free;Neither;No;Yes, front-end (exclusively or preferably);No;No;A little;Yes;What is that?;Yes;Some of it;No;Flexibility;Performance;Small;Yes;LibreOffice, or similar;Other;I'm not a developer;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS;80–100 %;Advanced;bash;Drop-down terminal;Yes;Depends on which computer a use;Desktop, Laptop, Netbook;1996–1999;30–39;High school;Yes;None;No;Male;Yes;Yes;Sometimes;
11/21/2014 7:58:16;In favour;Yes;A bit;No;No;Yes;No;Helpful;No;No;No;No;No;I love them;Neither;In favour;Neither;Neither;In favour;Yes;No;Yes;Yes;No;No;No;No;No;Linux;Neither;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;Yes, full-stack;No;Yes;Yes;Neither;Yes;Yes;No;Performance;Bleeding edge;Small;No;LibreOffice, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, OS X, Windows or ReactOS;40–60 %;Advanced;zsh;I live in the terminal;Yes;Yes;Desktop;2004–2007;18–21;4 years university or university college, or longer;Yes;4 years university or university college, or longer;Yes;Male;Yes;Yes;No;
11/21/2014 8:05:33;Against;Yes;Yes;Yes;No;Don't know;No;I have no opinion;No;No;No;No;No;Neutral;What is that?;Against;Against;Against;Against;No;No;No;Yes;Yes;Yes;Yes;Yes, encrypted;No;By the name of the distribution I use;Against;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;Yes, full-stack;Yes;A little;Yes;Neither;No;Some of it;No;Other;Stability;Shiny;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Neither;GNU/Linux;GNU/Linux;GNU/Linux, *BSD, OS X, Windows or ReactOS, Haiku or BeOS, Other UNIX-like;100 %;Advanced;zsh;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop, Other;2004–2007;30–39;4 years university or university college, or longer;No;None;No;Male;No;No;No;
11/21/2014 8:05:35;Neither;Yes;Yes;Yes;No;Yes;Yes;Biased;No;No;No;Yes, but only by its adoption by that software;No;I hate them;Neither;Against;Against;Against;Neither;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;GNU/Linux;Neither;Yes, but not exclusively;I'm for free software;Yes;No;Yes, full-stack;Yes;A little;No;Yes;Neither;Some of it;No;Security;Privacy;Small;No;LaTeX, or similar;Emacs-family;Yes;Tiling, or dynamic;Other;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, Plan 9 from Bell Labs, Windows or ReactOS, Haiku or BeOS, Other UNIX-like;60–80 %;Advanced;zsh;Drop-down terminal;Yes;Yes;Server, Desktop, Laptop, Tablet;2000–2003;26–29;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/21/2014 8:06:45;Against;Yes;A bit;Yes;No;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/21/2014 8:08:54;In favour;Yes;No;No;Yes;No;No;Helpful;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;Neither;In favour;In favour;Neither;In favour;Yes;No;No;Yes;No;No;No;Yes;Yes;By the name of the distribution I use;In favour;No, or yes but not because it is free;I'm for free software;No;No;Yes, back-end (exclusively or preferably);No;A little;Yes;No;No;Some of it;No;Stability;Security;Shiny;No;LaTeX, or similar;Emacs-family;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, *BSD, Plan 9 from Bell Labs, Windows or ReactOS;80–100 %;Advanced;zsh;Drop-down terminal;No;Yes;Portable, Laptop, Tablet;1996–1999;26–29;Postgraduate;No;Postgraduate;No;Male;Sometimes;Sometimes;No;
11/21/2014 8:12:04;Against;Yes;A bit;Yes;No;Yes;Yes;I have no opinion;No;Yes;No;No;No;I love them;What is that?;In favour;In favour;What is that?;In favour;No;What is that?;What is that?;Yes;No;No;No;Yes;Yes;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;Yes, full-stack;No;Yes;Yes;What is that?;Yes;Some of it;No;Performance;Stability;Small;No;LibreOffice, or similar;Emacs-family;No;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;80–100 %;Advanced;bash;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop, Other;2004–2007;14–17;Primary school;I have not graduated high school;High school;I have not started or graduated from high school;Male;No;No;No;
11/21/2014 8:12:07;Against;Yes;Yes;Yes;No;Yes;;Biased;Yes;No;No;Yes, but only by its adoption by that software;No;Neutral;Against;Neither;Against;Against;Neither;No;No;No;No;No;Yes;Yes;Yes, encrypted;No;GNU;Against mobile phones in general;Yes;I'm for free software;Yes;No;Yes, back-end (exclusively or preferably);No;No;No;Yes;No;Yes;Yes;Flexibility;Bleeding edge;Shiny;No;LaTeX, or similar;Emacs-family;No;Tiling, or dynamic;Other;GNU/Linux;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, Plan 9 from Bell Labs, *Solaris, Windows or ReactOS, Haiku or BeOS;100 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop, Netbook, Other;1996–1999;22–25;High school;Yes;4 years university or university college, or longer;Yes;Male;Sometimes;Yes;Yes;
11/21/2014 8:12:11;In favour;Yes;No;No;No;Yes;Yes, but I do not mind that;I have no opinion;Yes;No;No;No;No;Neither;Neither;In favour;In favour;In favour;In favour;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;By the name of the distribution I use;Neither;No, or yes but not because it is free;I'm for free software;No;No;Yes, full-stack;Yes;A little;Yes;Neither;Neither;What is that?;No;Stability;Flexibility;Shiny;No;LibreOffice, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux, *BSD, Windows or ReactOS;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, *Solaris, UNIX, Windows or ReactOS, Other UNIX-like;100 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Tablet;1996–1999;30–39;College;No;3 years university or university college, or shorter;Yes;Male;No;No;No;
11/21/2014 8:17:20;In favour;Yes;No;No;Yes;No;No;Legit;No;No;No;No;Yes;Irrelevant, systemd is not a Red Hat project;What is that?;In favour;In favour;In favour;Neither;No;No;No;No;No;No;No;Yes;Yes;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;Yes, back-end (exclusively or preferably);Yes;Yes;Yes;No;Neither;No;No;Flexibility;Security;Shiny;No;LaTeX, or similar;Emacs-family;No;Stacking;Wayland;GNU/Linux, Windows or ReactOS, Other;GNU/Linux;GNU/Linux, Other;40–60 %;Advanced;bash;I live in the terminal;No;Yes;Server, Desktop, Laptop, Tablet, Other;2000–2003;26–29;Docent;No;None;No;Male;No;No;No;
11/21/2014 8:17:31;Neither;Yes;Don't know;Don't know;Don't know;Don't know;Yes;I have no opinion;No;No;Yes;Yes, but only by its adoption by that software;No;Irrelevant, systemd is not a Red Hat project;What is that?;In favour;What is that?;What is that?;What is that?;What is that?;What is that?;What is that?;Yes;What is that?;No;No;Yes;Yes;GNU/Linux;In favour;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;Yes, full-stack;Yes;Yes;Yes;What is that?;Neither;What is that?;What is that?;Flexibility;Performance;Security;No;LaTeX, or similar;Other;Yes;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS;40–60 %;Advanced;bash;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Portable, Laptop, Tablet, Other;2004–2007;18–21;3 years university or university college, or shorter;Yes;4 years university or university college, or longer;Yes;Male;No;No;No;
11/21/2014 8:17:53;In favour;Yes;Yes;No;Don't know;Don't know;No;;Yes;Yes;No;No;No;I love them;What is that?;In favour;Neither;In favour;In favour;Yes;No;What is that?;Yes;No;No;No;No;Yes;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;No;Yes;Yes;Yes;What is that?;Yes;What is that?;No;Flexibility;Bleeding edge;Other;Yes;LibreOffice, or similar;Other;No;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, OS X, Windows or ReactOS, Haiku or BeOS;20–40 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Laptop;2008–2011;22–25;College;Yes;None;No;Male;Sometimes;No;No;
11/21/2014 8:18:09;Against;Yes;Yes;Yes;No;Yes;Yes;Biased;Yes;Yes;Yes;Yes;No;Neutral;Neither;Against;Neither;In favour;Neither;No;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;By the name of the distribution I use;Neither;Yes, but not exclusively;;No;Yes, full-stack;No;Yes;Yes;Yes;Yes;Yes;Some of it;No;Flexibility;Stability;Shiny;No;LaTeX, or similar;Emacs-family;Yes;Tiling, or dynamic;Wayland;GNU/Linux;Plan 9 from Bell Labs;GNU/Linux, GNU but with another kernel than Linux, *BSD, Plan 9 from Bell Labs, UNIX, OS X, Windows or ReactOS, Other UNIX-like;100 %;Advanced;Other;I live in the terminal;Yes;Yes;Server, Desktop, Portable, Laptop, Ultrabook, Netbook, Tablet, PDA, Other;2000–2003;30–39;Postgraduate;No;None;No;Male;Sometimes;;No;
11/21/2014 8:20:58;Neither;No;Don't know;Don't know;Don't know;Don't know;Don't know;I have no opinion;No;No;No;No;No;Neither;What is that?;Against;What is that?;What is that?;What is that?;What is that?;What is that?;What is that?;Yes;What is that?;Yes;Yes;No;Yes;By the name of the distribution I use;In favour;Yes;I'm for open source;No;No;Yes, back-end (exclusively or preferably);No;A little;Yes;Yes;Yes;What is that?;What is that?;Performance;Privacy;Security;No;LibreOffice, or similar;Other;Yes;Tiling, or dynamic;Neither;GNU/Linux;GNU/Linux;GNU/Linux, Plan 9 from Bell Labs, OS X, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;What is that?;Depends on which computer a use;Server, Laptop;1996–1999;26–29;High school;No;None;Yes;Male;No;No;No;
11/21/2014 8:23:22;In favour;Yes;No;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;In favour;In favour;In favour;In favour;In favour;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;GNU/Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;Yes, full-stack;No;No;Yes;No;Yes;No;No;Other;Stability;Shiny;No;LaTeX, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, Plan 9 from Bell Labs, *Solaris, UNIX, OS X, Windows or ReactOS, Haiku or BeOS, Other UNIX-like, Other;100 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Portable, Laptop;2004–2007;22–25;High school;Yes;College;Yes;Male;No;No;No;
11/21/2014 8:25:07;In favour;Yes;No;No;Yes;Yes;No;I have no opinion;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;Neither;In favour;In favour;Neither;Neither;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;Neither;No;No;No;Yes;Yes;Yes;No;Yes;What is that?;No;Stability;Flexibility;Privacy;No;LibreOffice, or similar;Vi-family;I'm not a developer;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, *BSD, OS X, Windows or ReactOS, Haiku or BeOS;60–80 %;Advanced;bash;Drop-down terminal;Yes;Yes;Server, Desktop, Laptop, Ultrabook;1996–1999;30–39;3 years university or university college, or shorter;Yes;None;No;Male;No;No;No;
11/21/2014 8:27:29;In favour;No;No;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;No;Neutral;In favour;Neither;In favour;In favour;In favour;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Linux;Neither;No, or yes but not because it is free;Neither;No;Yes, full-stack;Yes, full-stack;Yes;Yes;Yes;Neither;Yes;What is that?;No;Stability;Performance;Small;No;LaTeX, or similar;Other;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;20–40 %;Beginner's;zsh;I live in the terminal;Yes;Yes;Server, Desktop, Laptop, Tablet;2000–2003;30–39;4 years university or university college, or longer;Yes;None;No;Male;Sometimes;Sometimes;No;
